ReviewDate,NumberOfReviews
 04-19-2015,1
 03-08-2015,5
 05-16-2015,1
 01-16-2015,7
 10-03-2015,1
 08-19-2015,1
 03-25-2015,3
 05-02-2015,2
 04-22-2015,3
 04-18-2015,3
 05-17-2015,3
 04-06-2015,2
 01-20-2015,9
 10-05-2015,1
 01-18-2015,4
 09-28-2015,1
 02-12-2015,1
 02-15-2015,1
 04-23-2015,4
 01-15-2015,7
 02-01-2015,2
 01-29-2015,1
 04-04-2015,1
 01-21-2015,5
 03-24-2015,2
 02-09-2015,2
 03-27-2015,1
 03-10-2015,2
 02-28-2015,1
 06-01-2015,1
 03-13-2015,3
 03-30-2015,2
 04-10-2015,3
 01-22-2015,7
 02-08-2015,3
 10-06-2015,1
 02-11-2015,2
 01-19-2015,7
 04-25-2015,2
 01-31-2015,5
 08-16-2015,1
 04-03-2015,3
 04-29-2015,2
 03-26-2015,1
 05-09-2015,2
 03-23-2015,3
 03-01-2015,4
 03-04-2015,3
 05-15-2015,2
 03-17-2015,2
 01-09-2015,12
 02-24-2015,2
 05-12-2015,1
 04-16-2015,2
 01-28-2015,7
 01-25-2015,3
 02-05-2015,3
 01-11-2015,9
 02-19-2015,2
 02-22-2015,1
 05-10-2015,2
 01-08-2015,11
 04-28-2015,2
 03-03-2015,3
 04-14-2015,2
 01-07-2015,23
 01-12-2015,9
 05-11-2015,1
 02-18-2015,1
 02-23-2015,1
 03-29-2015,2
 10-08-2015,1
 09-11-2015,1
 02-04-2015,2
 04-26-2015,1
 01-26-2015,3
 04-15-2015,1
 04-12-2015,3
 04-09-2015,1
 02-06-2015,6
 01-24-2015,5
 01-10-2015,6
 01-13-2015,10
 04-01-2015,1
 02-17-2015,3
 05-08-2015,4
 03-16-2015,2
 03-21-2015,2
 05-13-2015,1
 04-02-2015,2
 01-30-2015,2
 01-14-2015,10
 02-16-2015,2
 03-22-2015,1
 02-03-2015,1
 11-25-2015,1
 01-27-2015,6
 10-14-2015,1
 04-17-2015,3
 02-07-2015,2
 01-23-2015,6
 01-23-2016,1
 03-18-2015,1
 05-14-2015,2
 03-12-2015,3
 03-15-2015,1
 03-06-2015,2
 03-09-2015,1
 05-01-2015,2
 03-28-2015,2
 05-04-2015,4
 04-21-2015,2
 01-17-2015,6
 04-27-2015,2
 02-10-2015,1
 04-08-2015,1
 10-07-2015,1
